,,,,,,Planilha para Aplicação de Webscrap,,,
Titulo,Endereço,Taxa de Condominio,,Area,Suites,banheiros,Estacionamentos,,Preço
"Apartamento com 3 Quartos à venda, 185m²","Avenida Campos Sales - Tirol, Natal-RN",R$ 550,,185m²,3,4,4,,R$ 185000
Gran Parc Petropolis,Rua Mipibú -TIrol-Natal-RN,Sob Consulta,,120m²,1,1,2,,Sob Consulta
"Apartamento com 2 quartos à venda, 52mº²","Rua Antônio Madruga,2004",R$ 250,,52m²,2,2,NAN,,R$ 124000
"Apartamento com 3 Quartos à venda, 100m2",Rua Amintas Barros- Nova Parnamirim ,R$ 599,,100m2,3,2,NAN,,NAM
